,Prompt,GT
1235,Which law requires companies to protect the personal medical information of the customer? **Options:** A) SOX B) HIPAA C) PIPEDA D) GLBA,B
1236,"What should be done to monitor and control voice mail systems for suspicious activities? **Options:** A) Implementing long, complicated access codes for DISA B) Enabling direct inward system access and dial-in modem ports C) Monitoring for unsuccessful attempts and suspicious activities D) Allowing unrestricted access to company voice mail",C
1237,Why is it important to conduct forensic analysis on a copy of the original data instead of the original itself? **Options:** A) To prevent tampering with the original data and maintain the integrity of evidence. B) To eliminate the need for using forensic tools and techniques on the original data. C) To reduce the cost of storage for the data being analyzed. D) To speed up the analysis process and avoid unnecessary duplication of effort.,A
1238,"If you were to see the following in a packet capture, what attack would you expect is happening? %3Cscript%3Ealert('wubble');%3C/script%3E **Options:** A) Buffer overflow B) SQL injection C) Cross‐site scripting D) Command injection",C
1239,"According to HIPAA regulations, what is the responsibility of organizations regarding the protection of patient healthcare information? **Options:** A) Conducting regular data backups B) Designating responsible individuals and establishing recourse for policy violations C) Developing advanced security technologies D) Encrypting all patient data",B
1240,What is the main reason for an organization to have a position description for a job opening? **Options:** A) To specify the frequency of travel required for the job. B) To indicate the requirements for a background investigation and drug-free workplace policy. C) To outline the general duties and responsibilities of the position. D) To provide information about the supervisor's name and salary range.,C
1241,What is a programmable logic device (PLD)? **Options:** A) A volatile device B) An integrated circuit with connections or internal logic gates that can be changed through a programming process C) A program resident on disk memory that executes a specific function D) Random Access Memory (RAM) that contains the software to perform specific tasks,B
1242,What is recommended to minimize the risk when using an FTP server? **Options:** A) Running additional services on the same host as the FTP server B) Allowing anonymous access for easier file sharing C) Closely monitor the server logs and activity D) Keeping the server permanently turned on to facilitate data access,C
1243,The standard for study and control of electronic signals produced by various types of electronic hardware is known as ___________________. **Options:** A) Eavesdropping B) Wiretapping C) TEMPEST D) SESAME,C
1244,"Which tool can be used to gather information about wireless networks in an area, including signal strength readings and wireless network boundaries? **Options:** A) NetSpot B) Kismet C) WiFi Explorer D) Wireshark",B
